,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
313,Supriya I WILL ASSURE 100 % FOLLOW BACK,,2022-02-25T06:33:09.000Z,"Supriya I WILL ASSURE 100 % FOLLOW BACK
·
Feb 25","Heartbreaking video of #Ukrainian Soldier 
Russia's Ukraine attack

#UkraineUnderAttack #PutinIsaWarCriminal #RussiaUkraineWar #UkraineRussia #UkraineInvasion
296
2,175
12.9K",💝 💖 💖 💖 💔,296,"2,175",12.9K,[],https://twitter.com/Supriya404/status/1497097314158415872
314,Ukraine Updates,@WW3updated,2022-02-25T00:05:07.000Z,"Ukraine Updates
@WW3updated
·
Feb 25","A Ukrainian father bursts into tears as he says goodbye to his family before joining #Ukraine's Defence Forces amid the general mobilization due to #Russia's invasion.

#Ukraine
0:41
109.6K views
From 
Emiliano G. Arnáez
24
185
726",🚀,24,185,726,[],https://twitter.com/WW3updated/status/1496999665434304515
315,WORLD WAR 3 - RUSSIA vs Ukraine #2022,@WW32022,2022-02-25T20:01:35.000Z,"WORLD WAR 3 - RUSSIA vs Ukraine #2022
@WW32022
·
Feb 25","NATO chief Jens Stoltenberg:

- Over 100 jets on high alert in different locations
- Allies committed to continuing to provide support to Ukraine
- We will do what it takes to defend every ally

#Russia #Ukraine #NATO #JenStoltenberg
21
81
407",,21,81,407,[],https://twitter.com/WW32022/status/1497300766247342080
316,Ukraine Updates,@WW3updated,2022-02-25T00:05:07.000Z,"Ukraine Updates
@WW3updated
·
Feb 25","A Ukrainian father bursts into tears as he says goodbye to his family before joining #Ukraine's Defence Forces amid the general mobilization due to #Russia's invasion.

#Ukraine
109.6K views
0:04 / 0:43
From 
Emiliano G. Arnáez
24
185
726",🚀,24,185,726,[],https://twitter.com/WW3updated/status/1496999665434304515
317,James Banks #StandWithUkraine,@BanKsEsports,2022-02-25T03:51:06.000Z,"James Banks #StandWithUkraine
@BanKsEsports
·
Feb 25","This was sent to me by a friend I trust. They told me it was about an hour ago in Kyiv ! Something must be done to stop this! #UkraineInvasion
0:18
142.1K views
36
217
2,876",😔 💔,36,217,"2,876",[],https://twitter.com/BanKsEsports/status/1497056536090353666
318,Lizave,@Lizave_artist,2022-02-26T11:19:44.000Z,"Lizave
@Lizave_artist
·
11h","This is Kyiv, where I live. Russia invaded my country. It's a massive war in Ukraine. Ukrainian people are dying. I ask all people to share this information. Claim to help Ukraine from your governments. We need your help significantly. #WARINUKRAINE #RussianArmy
383
3,034
7,146",,383,"3,034","7,146",[],https://twitter.com/Lizave_artist/status/1497531825207627784
319,InfoSec Coydog,@NativeIndianDog,2022-02-26T16:26:12.000Z,"InfoSec Coydog
@NativeIndianDog
·
6h","Ukrainian stops to troll #RussianArmy APC that’s run out of fuel, offers to tow them back to Russia, then asks if they know where they are going (they say no) and then tells them to surrender because other Russians have surrendered because they had no idea where they were going:
172
2,066
6,879",,172,"2,066","6,879",[],https://twitter.com/NativeIndianDog/status/1497608948236513281
320,Free Ukraine Fuck Putin,@ukrainestream,2022-02-26T18:06:16.000Z,"Free Ukraine Fuck Putin
@ukrainestream
·
4h","This is how Dublin greeted the Russian ambassador.

#Ukraine #UkraineWar #UkraineUnderAttack #StopPutin
132
899
5,489",👆,132,899,"5,489",[],https://twitter.com/ukrainestream/status/1497634131777253377
321,دودول طلا,@LievanTem,2022-02-26T19:10:41.000Z,"دودول طلا
@LievanTem
·
3h","A captured Russian soldier is seen crying #Sumy #Ukraine #RussianArmy
133
295
1,129",,133,295,"1,129",[],https://twitter.com/LievanTem/status/1497650343257071617
322,RUSSIA vs Ukraine #2022,@W_W_32022,2022-02-26T17:27:14.000Z,"RUSSIA vs Ukraine #2022
@W_W_32022
·
5h","BREAKING: An protest in Tbilisi right now, 26th Feb 2022.

#Ukraine #Russia #Tbilisi
20
236
1,238",,20,236,"1,238",[],https://twitter.com/W_W_32022/status/1497624310046887936
